,Predicted Movie,rmse,alpha,beta,intercept
0,The Thing (1982),0.3580197437278513,Lasso(alpha=0.0026),"[ 0.05823674  0.0540546   0.12572163  0.00688372 -0.04507115  0.27350977
  0.07935736  0.27843282  0.02711459  0.1264711 ]",0.04173323637400106
1,12 Monkeys (1995),0.40056363090449515,Lasso(alpha=0.0041),"[ 0.19150048  0.          0.00566122 -0.          0.00410338  0.43428272
  0.0824438   0.04626866 -0.          0.08397232]",0.6024671913102622
2,Bad Boys (1995),0.4170798123077297,Lasso(alpha=0.0056),"[ 0.15788932  0.0207767   0.04530858  0.04630346  0.23919271 -0.
  0.13505155  0.11230344  0.03155689  0.        ]",0.6997843340907974
3,Armageddon (1998),0.4122205428944708,Lasso(alpha=0.004600000000000001),"[ 0.02889266  0.          0.1364374   0.00479484  0.          0.09258265
  0.          0.17749371 -0.          0.45233521]",0.39564959853565584
4,Bad Boys 2 (2003),0.4515563681596825,Lasso(alpha=0.004600000000000001),"[0.11141683 0.02501474 0.03537096 0.00711401 0.15979646 0.04478582
 0.09530829 0.13200104 0.01571024 0.24125701]",0.5316836307192974
5,The Mist (2007),0.3752305938826097,Lasso(alpha=0.0031),"[ 0.05697224  0.01315989  0.          0.00506086 -0.          0.11325845
  0.0821574   0.37889754  0.02443943  0.24928022]",0.22349002396461692
6,Braveheart (1995),0.39795549479650744,Lasso(alpha=0.0036),"[ 0.09492943  0.00956905  0.0546157   0.          0.09280867 -0.
 -0.          0.49391293  0.02879182  0.10730526]",0.5225564275987824
7,The Others (2001),0.3539365925584182,Lasso(alpha=0.0071),"[ 0.03777218  0.         -0.          0.00495627  0.          0.37705401
  0.05427261  0.35650042  0.01623389  0.01441904]",0.5570170646355117
8,Baby Geniuses (1999),0.41146132056966817,Lasso(alpha=0.0056),"[0.24979257 0.         0.         0.03638699 0.05361199 0.26359402
 0.0700762  0.00784604 0.         0.27493541]",0.011299518575696776
9,One Flew Over the Cuckoo's Nest (1975),0.4385439868814937,Lasso(alpha=0.0041),"[0.12887456 0.16481666 0.07691656 0.         0.02718021 0.
 0.17200271 0.25093079 0.00762422 0.05397689]",0.6332896688590566
10,Honey (2003),0.35825858004791206,Lasso(alpha=0.0041),"[0.18035596 0.0530966  0.07125749 0.02452046 0.15839635 0.08303768
 0.         0.         0.03245903 0.36745213]",0.051728556640999734
11,Big Daddy (1999),0.31278953700385925,Lasso(alpha=0.0036),"[ 2.25428918e-01  1.24460957e-02 -0.00000000e+00  2.33246678e-04
  1.83660417e-01  2.70693713e-02  2.93851419e-02  2.63555819e-01
  2.60121551e-02  1.83569092e-01]",0.3957858212871641
12,Halloween (1978),0.43304745804338335,Lasso(alpha=0.0041),"[ 0.07746921 -0.02984232  0.14154936  0.02284998  0.03836284  0.
  0.          0.5310421   0.08864408  0.02969891]",0.4266980746736504
13,The Poseidon Adventure (1972),0.4151636641567899,Lasso(alpha=0.004600000000000001),"[0.         0.         0.05894157 0.01737426 0.04645532 0.29534226
 0.09681936 0.07443625 0.         0.20702367]",0.42178017167442894
14,Rocky (1976),0.5319616641359808,Lasso(alpha=0.0081),"[ 0.11829884  0.11267111  0.09976648  0.          0.22304622 -0.
  0.06568176  0.26597555  0.01376686  0.11127671]",0.1794802040547414
15,The Intouchables (2011),0.4122114197418845,Lasso(alpha=0.0056),"[ 0.14671443  0.          0.08463415 -0.00333884  0.04472481  0.07906344
  0.13003996  0.07166906  0.00815644  0.29379976]",0.7651533285311416
16,Aliens (1986),0.3115328340530032,Lasso(alpha=0.0011),"[ 0.08820008  0.10751726  0.19288003  0.0352788   0.06490601 -0.04101859
  0.07762039  0.26123817  0.          0.20233269]",0.07004225846042367
17,Knight and Day (2010),0.4214332628079337,Lasso(alpha=0.0051),"[0.26663871 0.00392854 0.05778853 0.04002233 0.16300143 0.
 0.13480536 0.19226538 0.01735532 0.02863892]",0.2137967468565387
18,Crossroads (2002),0.32594436401007654,Lasso(alpha=0.0051),"[0.22348083 0.         0.04063469 0.01916048 0.12241346 0.08854873
 0.         0.         0.01925008 0.37373757]",0.21898762777132363
19,Man on Fire (2004),0.24647471055156625,Lasso(alpha=0.0056),"[ 0.          0.02873607  0.02616486  0.02372306  0.13951398  0.32238578
  0.          0.2949083  -0.01397861  0.11150015]",0.340491568839989
20,The Truman Show (1998),0.49828186307972844,Lasso(alpha=0.0036),"[ 0.29371966  0.01937261  0.02808716  0.02268399  0.09553799  0.13104742
  0.11489709  0.08117229 -0.01134254  0.29841693]",0.24178563210885295
21,Gone in Sixty Seconds (2000),0.32760571806542926,Lasso(alpha=0.0071),"[ 0.01517354  0.00519261  0.          0.03455128  0.          0.24808976
  0.0802583   0.01429477 -0.          0.43442457]",0.40773111338555923
22,Memento (2000),0.38350593965969304,Lasso(alpha=0.0021),"[1.61848568e-01 1.17617216e-01 1.73731930e-02 0.00000000e+00
 1.31821996e-01 7.63692989e-02 2.60392413e-01 8.21980084e-05
 3.22924339e-02 1.03703831e-01]",0.5435322620813254
23,Blues Brothers 2000 (1998),0.32467921397923805,Lasso(alpha=0.006600000000000001),"[ 0.24462185 -0.          0.01592367  0.0019176   0.          0.20653483
 -0.          0.12661624  0.01599186  0.26052492]",0.4048671453817736
24,The Green Mile (1999),0.2894175517893453,Lasso(alpha=0.0041),"[0.13071891 0.02893924 0.07071729 0.         0.04272849 0.15627437
 0.10728453 0.1847896  0.         0.15986538]",0.6443303339020803
25,The Transporter (2002),0.4472241511119494,Lasso(alpha=0.0051),"[0.20541929 0.         0.15680969 0.01121264 0.12295611 0.16074298
 0.06073479 0.15702465 0.         0.        ]",0.44355210997339034
26,Child's Play (1988),0.35750647366564015,Lasso(alpha=0.0036),"[0.30105337 0.04867252 0.10712336 0.03498001 0.18215131 0.
 0.00119336 0.28466353 0.04664921 0.        ]",-0.1111673620972935
27,You're Next (2011),0.3576354653315489,Lasso(alpha=0.0036),"[ 0.11836624  0.03734023  0.02591415  0.00568692  0.10461817 -0.
  0.12801158  0.17377886  0.04310814  0.23391305]",0.22287198881995618
28,Full Metal Jacket (1987),0.3919698407661184,Lasso(alpha=0.0091),"[ 8.14454415e-05  0.00000000e+00  8.71196115e-02  0.00000000e+00
 -0.00000000e+00  6.71205061e-02  1.32536871e-01  4.74717908e-02
 -0.00000000e+00  6.30552990e-01]",0.27081009765932773
29,Angels in the Outfield (1994),0.37995580516073635,Lasso(alpha=0.0031),"[ 0.17939574 -0.          0.08186397  0.01135376  0.04900199  0.01193192
  0.14355434  0.33115158 -0.02256649  0.22923422]",-0.07979000816814441
