,Predicted Movie,rmse,alpha,beta,intercept
0,The Thing (1982),0.3548652944871058,Ridge(alpha=49),"[ 0.08825797  0.06907739  0.13297281  0.02168214 -0.01974222  0.208658
  0.10259042  0.17198992  0.03360111  0.1219165 ]",0.14264883194833855
1,12 Monkeys (1995),0.39339999341430654,Ridge(alpha=29),"[ 0.18010654  0.01070922  0.02074147 -0.00286833  0.02599892  0.34551506
  0.08952195  0.08047997 -0.00769727  0.10009269]",0.5830747358355435
2,Bad Boys (1995),0.41542500923130704,Ridge(alpha=45),"[ 0.13559325  0.0426892   0.05548535  0.05372082  0.1921402  -0.00971645
  0.11216802  0.10507865  0.03639433  0.07063626]",0.689151497076224
3,Armageddon (1998),0.4042578599379409,Ridge(alpha=41),"[7.76283375e-02 3.00240566e-02 1.51785418e-01 1.95614678e-02
 3.56070700e-02 1.10781416e-01 3.71299751e-02 1.64497375e-01
 4.16456487e-05 2.36397513e-01]",0.4399145351120999
4,Bad Boys 2 (2003),0.44527427497730826,Ridge(alpha=65),"[0.10823286 0.05555789 0.06214075 0.02402931 0.13821125 0.07165622
 0.10252058 0.11369082 0.02437441 0.13109034]",0.6159090138040355
5,The Mist (2007),0.37665961932173586,Ridge(alpha=9),"[ 0.07603032  0.02940543  0.00863931  0.01039274 -0.01361071  0.12321726
  0.09771862  0.33841448  0.02768252  0.23414665]",0.18946898339610163
6,Braveheart (1995),0.3941337321052002,Ridge(alpha=18),"[ 0.12022834  0.03341933  0.07502817  0.0102907   0.1088861  -0.01954522
 -0.0227249   0.37248883  0.03328112  0.15903136]",0.5324868649703824
7,The Others (2001),0.35419788396104523,Ridge(alpha=23),"[ 0.07614127  0.01526326 -0.02566784  0.01268993 -0.00385979  0.32711756
  0.08184302  0.27208161  0.02450641  0.10829623]",0.46242846346629074
8,Baby Geniuses (1999),0.41128094147769656,Ridge(alpha=20),"[0.23481813 0.01429193 0.0072475  0.04313224 0.06741926 0.24318406
 0.08812879 0.07275168 0.00560877 0.20210492]",-0.06630378740180598
9,One Flew Over the Cuckoo's Nest (1975),0.43068432920153094,Ridge(alpha=37),"[0.12024033 0.14846379 0.08501668 0.00493278 0.05266291 0.01968549
 0.1569677  0.1669711  0.01616672 0.09961677]",0.6675089211638583
10,Honey (2003),0.3620203111136784,Ridge(alpha=65),"[0.14927524 0.07674111 0.0902698  0.04070561 0.14298741 0.09884576
 0.05992601 0.05823492 0.03981213 0.1624273 ]",0.16042985759502715
11,Big Daddy (1999),0.3134328974744903,Ridge(alpha=11),"[ 0.21530921  0.02561658 -0.00944845  0.00371167  0.18522267  0.05023823
  0.05188125  0.23669726  0.02926996  0.17953325]",0.3426249631477387
12,Halloween (1978),0.4231871078515932,Ridge(alpha=14),"[ 0.09029363 -0.06810024  0.14449769  0.02669462  0.06608386  0.00630194
  0.03916818  0.39820225  0.09412216  0.10533821]",0.4075675033127726
13,The Poseidon Adventure (1972),0.4240393736206791,Ridge(alpha=62),"[0.05491375 0.0307943  0.07684845 0.03189799 0.06157398 0.198728
 0.09713089 0.09256944 0.00646495 0.11722115]",0.4597326410420641
14,Rocky (1976),0.5311072034397656,Ridge(alpha=56),"[ 0.13218201  0.11999654  0.11492001  0.01848311  0.19684197 -0.03531746
  0.10024306  0.18090783  0.0273972   0.1349637 ]",0.2077748415257501
15,The Intouchables (2011),0.4146246861633955,Ridge(alpha=59),"[ 0.13591996  0.02614195  0.09698693 -0.00670323  0.07127023  0.09893457
  0.13049873  0.10562899  0.01776162  0.15645016]",0.8100619124222743
16,Aliens (1986),0.306226965177361,Ridge(alpha=54),"[0.09138302 0.10457602 0.18108938 0.0437543  0.08709538 0.00820831
 0.10493365 0.15774965 0.01036057 0.13666637]",0.23055072214503847
17,Knight and Day (2010),0.4155630872989041,Ridge(alpha=47),"[0.19580985 0.03087049 0.06778869 0.04826261 0.14421514 0.04489304
 0.12180849 0.13390963 0.02290043 0.08636914]",0.23175143110756613
18,Crossroads (2002),0.30543106083482546,Ridge(alpha=49),"[0.18515951 0.01447421 0.06465954 0.0340497  0.12426197 0.10648623
 0.04279346 0.07799054 0.02770199 0.18477377]",0.2640769822556974
19,Man on Fire (2004),0.24822980198589564,Ridge(alpha=24),"[ 0.00876211  0.05386362  0.04642657  0.03288926  0.1457659   0.28240631
  0.03142989  0.22585946 -0.02796235  0.13522749]",0.29395658828579396
20,The Truman Show (1998),0.49654416949583574,Ridge(alpha=53),"[ 0.22442893  0.05590842  0.0598783   0.03979737  0.10665768  0.1353176
  0.12747093  0.11332788 -0.01384772  0.16902549]",0.3576830577905188
21,Gone in Sixty Seconds (2000),0.31830423955307435,Ridge(alpha=46),"[ 0.07353032  0.04980617  0.03643648  0.04749315  0.0361599   0.19816472
  0.1051541   0.09227289 -0.01249088  0.20328449]",0.3649061661684736
22,Memento (2000),0.3909760788919648,Ridge(alpha=49),"[0.13363698 0.11137762 0.03658834 0.00899305 0.11244003 0.08072814
 0.18664217 0.06341657 0.03799395 0.09776316]",0.6624215644461477
23,Blues Brothers 2000 (1998),0.3213281094625185,Ridge(alpha=17),"[ 0.24452165 -0.02425653  0.0343474   0.01151301  0.01581905  0.20969687
 -0.03678165  0.16913413  0.02633106  0.24504067]",0.36396095140963025
24,The Green Mile (1999),0.2888776906256442,Ridge(alpha=54),"[0.12296546 0.0530469  0.08652358 0.01510362 0.06563962 0.13618484
 0.11288142 0.13173682 0.00206601 0.12036494]",0.7071740506759325
25,The Transporter (2002),0.43893911564407523,Ridge(alpha=64),"[0.15482807 0.01306578 0.14318912 0.02470671 0.11541855 0.1366183
 0.0815864  0.11628012 0.00649049 0.05216304]",0.5065517869576017
26,Child's Play (1988),0.36070069110494124,Ridge(alpha=39),"[0.22530509 0.05962961 0.10797718 0.04272311 0.16889769 0.03293568
 0.04536962 0.17454165 0.04951151 0.07537433]",-0.06933117771213171
27,You're Next (2011),0.3548943172317108,Ridge(alpha=36),"[0.12302898 0.05984715 0.05011588 0.01813561 0.11024677 0.0051638
 0.13142587 0.1463025  0.04710836 0.1583971 ]",0.2603803310495536
28,Full Metal Jacket (1987),0.3917908707638664,Ridge(alpha=9),"[ 0.04831757  0.02839652  0.1014829   0.00462946 -0.0566808   0.09463878
  0.14787372  0.14684125 -0.01036155  0.52307124]",0.1102174912020577
29,Angels in the Outfield (1994),0.3812798123768997,Ridge(alpha=50),"[ 0.15613227  0.02356097  0.10481787  0.02701489  0.08303787  0.06514116
  0.15403293  0.19972253 -0.02098657  0.16283833]",0.05222297701141487
